"Date","Price","Open","High","Low","Vol.","Change %"
"2018-10-01","10.475","10.475","10.475","10.475","0.30K","-7.83%"
"2018-09-01","11.365","11.365","11.365","11.365","","-2.15%"
"2018-08-01","11.615","11.615","11.615","11.615","0.95K","18.58%"
"2018-07-01","9.795","9.795","9.795","9.795","","-7.64%"
"2018-06-01","10.605","10.605","10.605","10.605","0.02K","13.73%"
"2018-05-01","9.325","9.325","9.325","9.325","","16.85%"
"2018-04-01","7.980","7.980","7.980","7.980","0.25K","10.68%"
"2018-03-01","7.210","7.210","7.210","7.210","","-13.65%"
"2018-02-01","8.350","8.350","8.350","8.350","","-19.28%"
"2018-01-01","10.345","10.345","10.345","10.345","0.14K","-7.39%"
"2017-12-01","11.170","11.170","11.170","11.170","0.03K","13.86%"
"2017-11-01","9.810","9.810","9.810","9.810","","8.70%"
"2017-10-01","9.025","9.025","9.025","9.025","","10.53%"
"2017-09-01","8.165","8.165","8.165","8.165","0.01K","33.20%"
"2017-08-01","6.130","6.130","6.130","6.130","","5.69%"
"2017-07-01","5.800","5.800","5.800","5.800","","5.84%"
"2017-06-01","5.480","5.480","5.480","5.480","","0.27%"
"2017-05-01","5.465","5.465","5.465","5.465","","-10.41%"
"2017-04-01","6.100","6.100","6.100","6.100","","-1.61%"
"2017-03-01","6.200","6.200","6.200","6.200","","-6.77%"
"2017-02-01","6.650","6.650","6.650","6.650","","-16.87%"
"2017-01-01","8.000","8.000","8.000","8.000","","-9.09%"
"2016-12-01","8.800","8.800","8.800","8.800","","22.56%"
"2016-11-01","7.180","7.180","7.180","7.180","","3.01%"
"2016-10-01","6.970","6.970","6.970","6.970","","18.04%"
"2016-09-01","5.905","5.905","5.905","5.905","","8.65%"
"2016-08-01","5.435","5.435","5.435","5.435","","-9.34%"
"2016-07-01","5.995","5.995","5.995","5.995","","14.96%"
"2016-06-01","5.215","5.215","5.215","5.215","","10.72%"
"2016-05-01","4.710","4.710","4.710","4.710","","3.06%"
"2016-04-01","4.570","4.570","4.570","4.570","","6.65%"
"2016-03-01","4.285","4.285","4.285","4.285","","-3.38%"
"2016-02-01","4.435","4.435","4.435","4.435","","-12.27%"
"2016-01-01","5.055","5.055","5.055","5.055","","-26.31%"
"2015-12-01","6.860","6.860","6.860","6.860","","-5.70%"
"2015-11-01","7.275","7.275","7.275","7.275","","2.11%"
"2015-10-01","7.125","7.125","7.125","7.125","","6.18%"
"2015-09-01","6.710","6.710","6.710","6.710","","-12.46%"
"2015-08-01","7.665","7.665","7.665","7.665","","-4.96%"
"2015-07-01","8.065","8.065","8.065","8.065","","8.99%"
"2015-06-01","7.400","7.400","7.400","7.400","","-4.21%"
"2015-05-01","7.725","7.725","7.725","7.725","","8.96%"
"2015-04-01","7.090","7.090","7.090","7.090","","-5.78%"
"2015-03-01","7.525","7.525","7.525","7.525","","4.51%"
"2015-02-01","7.200","7.200","7.200","7.200","","-4.64%"
"2015-01-01","7.550","7.550","7.550","7.550","","-24.91%"
"2014-12-01","10.055","10.055","10.055","10.055","","-0.35%"
"2014-11-01","10.090","10.090","10.090","10.090","","-22.77%"
"2014-10-01","13.065","13.065","13.065","13.065","","-9.74%"
"2014-09-01","14.475","14.475","14.475","14.475","","16.64%"
"2014-08-01","12.410","12.410","12.410","12.410","","16.36%"
"2014-07-01","10.665","10.665","10.665","10.665","","-45.73%"
"2013-02-01","19.650","19.650","19.650","19.650","","2.34%"
"2013-01-01","19.200","19.200","19.200","19.200","0.00K","41.91%"
"2012-11-01","13.530","13.530","13.530","13.530","","0.59%"
"2012-10-01","13.450","13.450","13.450","13.450","0.00K","-5.28%"
