"Date","Price","Open","High","Low","Vol.","Change %"
"2021-04-01","23.285","19.000","23.320","18.900","17.84K","22.58%"
"2021-03-01","18.995","16.000","19.170","15.500","20.88K","21.03%"
"2021-02-01","15.695","19.050","20.375","15.550","13.96K","-20.81%"
"2021-01-01","19.820","19.450","26.085","17.375","10.62K","3.63%"
"2020-12-01","19.125","15.475","19.275","14.000","4.83K","26.32%"
"2020-11-01","15.140","13.515","15.200","12.600","7.16K","7.68%"
"2020-10-01","14.060","13.350","15.650","12.815","7.63K","5.83%"
"2020-09-01","13.285","11.200","13.310","10.370","3.90K","18.19%"
"2020-08-01","11.240","6.330","11.240","6.330","4.95K","86.56%"
"2020-07-01","6.025","5.950","6.315","4.710","7.83K","-2.27%"
"2020-06-01","6.165","4.100","6.455","3.950","9.53K","40.59%"
"2020-05-01","4.385","6.200","6.200","3.500","6.95K","-29.50%"
"2020-04-01","6.220","6.725","7.525","5.800","5.42K","-9.86%"
"2020-03-01","6.900","9.000","9.635","6.895","12.72K","-22.25%"
"2020-02-01","8.875","9.600","9.600","8.500","3.43K","-9.02%"
"2020-01-01","9.755","12.435","12.750","9.930","6.67K","-19.05%"
"2019-12-01","12.050","15.955","16.000","12.050","5.33K","-26.21%"
"2019-11-01","16.330","16.350","16.905","15.150","8.73K","1.21%"
"2019-10-01","16.135","16.250","16.725","13.625","6.31K","-1.56%"
"2019-09-01","16.390","11.950","16.690","11.675","2.93K","28.10%"
"2019-08-01","12.795","11.675","12.795","10.150","5.74K","16.32%"
"2019-07-01","11.000","10.570","13.725","9.725","7.29K","8.75%"
"2019-06-01","10.115","11.100","11.910","9.375","0.43K","-9.73%"
"2019-05-01","11.205","14.100","14.565","11.205","0.12K","-22.13%"
"2019-04-01","14.390","13.845","16.950","13.455","0.38K","1.23%"
"2019-03-01","14.215","17.320","17.500","14.175","4.39K","-20.21%"
"2019-02-01","17.815","19.300","19.355","17.000","0.91K","-10.25%"
"2019-01-01","19.850","22.280","23.135","19.665","0.74K","-9.69%"
"2018-12-01","21.980","25.085","25.085","22.180","0.76K","-10.98%"
"2018-11-01","24.690","23.975","26.725","23.625","0.59K","1.46%"
"2018-10-01","24.335","26.735","27.900","23.875","0.12K","-10.96%"
"2018-09-01","27.330","26.965","29.560","26.655","0.94K","5.79%"
"2018-08-01","25.835","21.930","26.130","21.930","0.22K","16.82%"
"2018-07-01","22.115","22.240","22.730","21.850","0.02K","1.10%"
"2018-06-01","21.875","21.775","22.380","21.320","0.04K","-3.12%"
"2018-05-01","22.580","20.095","22.985","19.865","0.09K","9.82%"
"2018-04-01","20.560","18.225","20.560","18.040","0.07K","12.81%"
"2018-03-01","18.225","17.560","19.710","17.515","0.18K","5.04%"
"2018-02-01","17.350","18.150","20.410","17.350","","-2.96%"
"2018-01-01","17.880","19.320","19.805","17.395","","-8.87%"
"2017-12-01","19.620","20.790","21.730","19.190","","-3.37%"
"2017-11-01","20.305","18.550","20.680","18.310","","11.05%"
