Year,Date,Hour,Demand,Temperature
2011,2011-01-07,20,17665,28
2011,2011-01-07,21,16977,28
2011,2011-01-07,22,16045,27
2011,2011-01-07,23,14819,27
2011,2011-01-07,24,13580,26
2011,2011-01-08,1,12657,26
2011,2011-01-08,2,12131,25
2011,2011-01-08,3,11847,25
2011,2011-01-08,4,11750,25
2011,2011-01-08,5,11845,25
2011,2011-01-08,6,12241,25
2011,2011-01-08,7,12999,24
2011,2011-01-08,8,13835,24
2011,2011-01-08,9,14820,24
2011,2011-01-08,10,15611,25
2011,2011-01-08,11,15986,26
2011,2011-01-08,12,16089,27
2011,2011-01-08,13,15932,27
2011,2011-01-08,14,15671,28
2011,2011-01-08,15,15477,29
2011,2011-01-08,16,15587,29
2011,2011-01-08,17,16593,29
2011,2011-01-08,18,17575,28
2011,2011-01-08,19,17351,28
2011,2011-01-08,20,16784,28
2011,2011-01-08,21,16210,28
2011,2011-01-08,22,15412,27
2011,2011-01-08,23,14424,27
2011,2011-01-08,24,13362,27
2011,2011-01-09,1,12456,27
2011,2011-01-09,2,11925,28
2011,2011-01-09,3,11643,28
2011,2011-01-09,4,11551,27
2011,2011-01-09,5,11641,27
2011,2011-01-09,6,11958,26
2011,2011-01-09,7,12509,26
2011,2011-01-09,8,13132,25
2011,2011-01-09,9,14024,25
2011,2011-01-09,10,14714,26
2011,2011-01-09,11,15057,28
2011,2011-01-09,12,15258,29
2011,2011-01-09,13,15290,30
2011,2011-01-09,14,15188,31
2011,2011-01-09,15,15086,31
2011,2011-01-09,16,15258,31
2011,2011-01-09,17,16475,30
2011,2011-01-09,18,17923,28
2011,2011-01-09,19,17910,27
2011,2011-01-09,20,17449,26
2011,2011-01-09,21,16836,25
2011,2011-01-09,22,15762,24
2011,2011-01-09,23,14483,24
2011,2011-01-09,24,13364,24
2011,2011-01-10,1,12609,24
2011,2011-01-10,2,12230,24
2011,2011-01-10,3,12109,24
2011,2011-01-10,4,12174,23
2011,2011-01-10,5,12593,23
2011,2011-01-10,6,13797,22
2011,2011-01-10,7,15966,22
2011,2011-01-10,8,17113,21
2011,2011-01-10,9,17255,21
2011,2011-01-10,10,17279,23
2011,2011-01-10,11,17256,25
2011,2011-01-10,12,17149,27
2011,2011-01-10,13,16906,29
2011,2011-01-10,14,16745,30
2011,2011-01-10,15,16503,31
2011,2011-01-10,16,16542,32
2011,2011-01-10,17,17568,31
2011,2011-01-10,18,18992,28
2011,2011-01-10,19,18960,27
2011,2011-01-10,20,18569,26
2011,2011-01-10,21,17847,25
2011,2011-01-10,22,16679,25
2011,2011-01-10,23,15193,24
2011,2011-01-10,24,13867,23
2011,2011-01-11,1,13028,22
2011,2011-01-11,2,12573,22
2011,2011-01-11,3,12417,20
2011,2011-01-11,4,12466,20
2011,2011-01-11,5,12870,18
2011,2011-01-11,6,14051,17
2011,2011-01-11,7,16218,16
2011,2011-01-11,8,17342,16
2011,2011-01-11,9,17413,16
2011,2011-01-11,10,17413,19
2011,2011-01-11,11,17388,21
2011,2011-01-11,12,17251,23
2011,2011-01-11,13,17055,25
2011,2011-01-11,14,16885,26
2011,2011-01-11,15,16704,26
2011,2011-01-11,16,16781,27
2011,2011-01-11,17,17719,27
2011,2011-01-11,18,18885,26
2011,2011-01-11,19,18774,26
2011,2011-01-11,20,18291,26
2011,2011-01-11,21,17587,25
2011,2011-01-11,22,16511,24
2011,2011-01-11,23,15121,24
2011,2011-01-11,24,13864,25
2011,2011-01-12,1,12948,25
2011,2011-01-12,2,12479,26
2011,2011-01-12,3,12233,26
2011,2011-01-12,4,12207,26
2011,2011-01-12,5,12427,27
2011,2011-01-12,6,13080,27
2011,2011-01-12,7,14058,27
2011,2011-01-12,8,14825,26
2011,2011-01-12,9,15503,26
2011,2011-01-12,10,16175,27
2011,2011-01-12,11,16637,26
2011,2011-01-12,12,16919,26
2011,2011-01-12,13,17011,26
2011,2011-01-12,14,16888,26
2011,2011-01-12,15,16709,27
2011,2011-01-12,16,16737,26
2011,2011-01-12,17,17732,26
2011,2011-01-12,18,19091,26
2011,2011-01-12,19,18776,26
2011,2011-01-12,20,18047,26
2011,2011-01-12,21,17174,26
2011,2011-01-12,22,16010,26
2011,2011-01-12,23,14639,25
2011,2011-01-12,24,13491,25
2011,2011-01-13,1,12668,25
2011,2011-01-13,2,12291,25
2011,2011-01-13,3,12134,24
2011,2011-01-13,4,12179,24
2011,2011-01-13,5,12535,24
2011,2011-01-13,6,13604,24
2011,2011-01-13,7,15416,23
2011,2011-01-13,8,16502,23
2011,2011-01-13,9,16836,22
2011,2011-01-13,10,16958,24
2011,2011-01-13,11,17061,25
2011,2011-01-13,12,17037,26
2011,2011-01-13,13,16877,27
2011,2011-01-13,14,16787,28
2011,2011-01-13,15,16609,27
2011,2011-01-13,16,16656,27
2011,2011-01-13,17,17569,25
2011,2011-01-13,18,19001,23
2011,2011-01-13,19,19021,22
2011,2011-01-13,20,18647,20
2011,2011-01-13,21,17992,20
2011,2011-01-13,22,16872,19
2011,2011-01-13,23,15427,18
2011,2011-01-13,24,14157,18
2011,2011-01-14,1,13286,17
2011,2011-01-14,2,12882,16
2011,2011-01-14,3,12727,15
2011,2011-01-14,4,12764,14
2011,2011-01-14,5,13101,13
2011,2011-01-14,6,14221,13
2011,2011-01-14,7,16255,12
2011,2011-01-14,8,17407,12
2011,2011-01-14,9,17632,13
2011,2011-01-14,10,17752,15
2011,2011-01-14,11,17788,17
2011,2011-01-14,12,17668,19
2011,2011-01-14,13,17409,20
2011,2011-01-14,14,17221,21
2011,2011-01-14,15,16944,22
2011,2011-01-14,16,16865,22
2011,2011-01-14,17,17596,22
2011,2011-01-14,18,18754,20
2011,2011-01-14,19,18607,18
2011,2011-01-14,20,18197,18
2011,2011-01-14,21,17675,16
2011,2011-01-14,22,16874,15
2011,2011-01-14,23,15744,13
2011,2011-01-14,24,14594,11
2011,2011-01-15,1,13795,12
2011,2011-01-15,2,13346,11
2011,2011-01-15,3,13132,9
2011,2011-01-15,4,13078,7
2011,2011-01-15,5,13209,7
2011,2011-01-15,6,13649,5
2011,2011-01-15,7,14477,5
2011,2011-01-15,8,15360,6
2011,2011-01-15,9,16258,6
2011,2011-01-15,10,16743,9
2011,2011-01-15,11,16760,13
2011,2011-01-15,12,16532,17
2011,2011-01-15,13,16212,20
2011,2011-01-15,14,15901,23
2011,2011-01-15,15,15746,26
2011,2011-01-15,16,15824,26
2011,2011-01-15,17,16753,27
2011,2011-01-15,18,17805,27
2011,2011-01-15,19,17580,27
2011,2011-01-15,20,17003,28
2011,2011-01-15,21,16460,28
2011,2011-01-15,22,15628,30
2011,2011-01-15,23,14560,30
2011,2011-01-15,24,13486,30
2011,2011-01-16,1,12562,29
2011,2011-01-16,2,12028,30
2011,2011-01-16,3,11725,29
2011,2011-01-16,4,11603,29
2011,2011-01-16,5,11657,28
2011,2011-01-16,6,11948,28
2011,2011-01-16,7,12533,27
2011,2011-01-16,8,13172,25
2011,2011-01-16,9,14019,23
2011,2011-01-16,10,14636,26
2011,2011-01-16,11,14951,28
2011,2011-01-16,12,15068,29
2011,2011-01-16,13,15039,30
2011,2011-01-16,14,14937,31
2011,2011-01-16,15,14853,30
2011,2011-01-16,16,14982,31
2011,2011-01-16,17,15936,29
2011,2011-01-16,18,17170,27
2011,2011-01-16,19,17194,25
2011,2011-01-16,20,16666,24
2011,2011-01-16,21,16357,22
2011,2011-01-16,22,15555,20
2011,2011-01-16,23,14546,19
2011,2011-01-16,24,13568,18
2011,2011-01-17,1,12839,17
2011,2011-01-17,2,12493,16
2011,2011-01-17,3,12365,15
2011,2011-01-17,4,12399,15
2011,2011-01-17,5,12746,14
2011,2011-01-17,6,13607,13
2011,2011-01-17,7,15022,13
2011,2011-01-17,8,16140,11
2011,2011-01-17,9,16927,10
2011,2011-01-17,10,17428,11
2011,2011-01-17,11,17647,12
2011,2011-01-17,12,17640,14
2011,2011-01-17,13,17419,15
2011,2011-01-17,14,17204,17
2011,2011-01-17,15,17007,18
2011,2011-01-17,16,17042,18
2011,2011-01-17,17,17931,18
2011,2011-01-17,18,19464,17
2011,2011-01-17,19,19459,15
2011,2011-01-17,20,19027,13
2011,2011-01-17,21,18286,13
2011,2011-01-17,22,17103,13
2011,2011-01-17,23,15646,13
2011,2011-01-17,24,14342,14
2011,2011-01-18,1,13483,14
2011,2011-01-18,2,13024,15
2011,2011-01-18,3,12793,16
2011,2011-01-18,4,12777,16
2011,2011-01-18,5,13128,16
2011,2011-01-18,6,14222,16
2011,2011-01-18,7,16015,16
2011,2011-01-18,8,17133,17
2011,2011-01-18,9,17521,19
2011,2011-01-18,10,17886,19
2011,2011-01-18,11,18229,20
2011,2011-01-18,12,18382,22
2011,2011-01-18,13,18332,24
2011,2011-01-18,14,18155,26
2011,2011-01-18,15,17845,27
2011,2011-01-18,16,17751,29
2011,2011-01-18,17,18396,30
2011,2011-01-18,18,19389,31
2011,2011-01-18,19,19081,32
2011,2011-01-18,20,18372,33
2011,2011-01-18,21,17378,34
2011,2011-01-18,22,16064,34
2011,2011-01-18,23,14548,34
2011,2011-01-18,24,13227,34
2011,2011-01-19,1,12374,34
