Year,Date,Hour,Demand,Temperature
2011,2011-01-07,20,3483,31
2011,2011-01-07,21,3361,32
2011,2011-01-07,22,3205,30
2011,2011-01-07,23,2984,30
2011,2011-01-07,24,2757,30
2011,2011-01-08,1,2585,30
2011,2011-01-08,2,2489,29
2011,2011-01-08,3,2435,31
2011,2011-01-08,4,2411,31
2011,2011-01-08,5,2420,31
2011,2011-01-08,6,2488,31
2011,2011-01-08,7,2626,30
2011,2011-01-08,8,2779,29
2011,2011-01-08,9,2965,28
2011,2011-01-08,10,3112,28
2011,2011-01-08,11,3186,28
2011,2011-01-08,12,3220,28
2011,2011-01-08,13,3214,29
2011,2011-01-08,14,3152,30
2011,2011-01-08,15,3122,31
2011,2011-01-08,16,3147,32
2011,2011-01-08,17,3303,32
2011,2011-01-08,18,3458,31
2011,2011-01-08,19,3435,30
2011,2011-01-08,20,3347,30
2011,2011-01-08,21,3248,31
2011,2011-01-08,22,3117,31
2011,2011-01-08,23,2947,31
2011,2011-01-08,24,2750,30
2011,2011-01-09,1,2577,30
2011,2011-01-09,2,2469,31
2011,2011-01-09,3,2415,31
2011,2011-01-09,4,2393,31
2011,2011-01-09,5,2399,28
2011,2011-01-09,6,2446,29
2011,2011-01-09,7,2547,30
2011,2011-01-09,8,2637,30
2011,2011-01-09,9,2781,30
2011,2011-01-09,10,2892,30
2011,2011-01-09,11,2957,31
2011,2011-01-09,12,3000,32
2011,2011-01-09,13,3018,33
2011,2011-01-09,14,3009,34
2011,2011-01-09,15,3004,34
2011,2011-01-09,16,3042,34
2011,2011-01-09,17,3255,33
2011,2011-01-09,18,3489,31
2011,2011-01-09,19,3503,31
2011,2011-01-09,20,3445,29
2011,2011-01-09,21,3359,28
2011,2011-01-09,22,3205,27
2011,2011-01-09,23,2972,26
2011,2011-01-09,24,2756,26
2011,2011-01-10,1,2603,26
2011,2011-01-10,2,2516,25
2011,2011-01-10,3,2498,25
2011,2011-01-10,4,2509,25
2011,2011-01-10,5,2585,24
2011,2011-01-10,6,2813,24
2011,2011-01-10,7,3207,24
2011,2011-01-10,8,3461,23
2011,2011-01-10,9,3512,23
2011,2011-01-10,10,3537,24
2011,2011-01-10,11,3501,25
2011,2011-01-10,12,3478,29
2011,2011-01-10,13,3445,30
2011,2011-01-10,14,3409,33
2011,2011-01-10,15,3372,34
2011,2011-01-10,16,3391,35
2011,2011-01-10,17,3562,34
2011,2011-01-10,18,3780,33
2011,2011-01-10,19,3743,32
2011,2011-01-10,20,3666,31
2011,2011-01-10,21,3546,30
2011,2011-01-10,22,3350,29
2011,2011-01-10,23,3076,29
2011,2011-01-10,24,2820,28
2011,2011-01-11,1,2655,26
2011,2011-01-11,2,2558,25
2011,2011-01-11,3,2529,24
2011,2011-01-11,4,2542,23
2011,2011-01-11,5,2613,21
2011,2011-01-11,6,2821,21
2011,2011-01-11,7,3226,21
2011,2011-01-11,8,3495,21
2011,2011-01-11,9,3534,21
2011,2011-01-11,10,3556,22
2011,2011-01-11,11,3565,24
2011,2011-01-11,12,3557,25
2011,2011-01-11,13,3516,27
2011,2011-01-11,14,3466,28
2011,2011-01-11,15,3431,29
2011,2011-01-11,16,3443,29
2011,2011-01-11,17,3594,29
2011,2011-01-11,18,3774,30
2011,2011-01-11,19,3704,30
2011,2011-01-11,20,3602,30
2011,2011-01-11,21,3482,30
2011,2011-01-11,22,3306,29
2011,2011-01-11,23,3055,29
2011,2011-01-11,24,2810,30
2011,2011-01-12,1,2622,30
2011,2011-01-12,2,2516,35
2011,2011-01-12,3,2481,34
2011,2011-01-12,4,2485,33
2011,2011-01-12,5,2528,33
2011,2011-01-12,6,2651,33
2011,2011-01-12,7,2834,33
2011,2011-01-12,8,2994,33
2011,2011-01-12,9,3130,33
2011,2011-01-12,10,3264,33
2011,2011-01-12,11,3351,30
2011,2011-01-12,12,3411,29
2011,2011-01-12,13,3439,29
2011,2011-01-12,14,3427,29
2011,2011-01-12,15,3408,30
2011,2011-01-12,16,3419,28
2011,2011-01-12,17,3591,29
2011,2011-01-12,18,3791,28
2011,2011-01-12,19,3709,28
2011,2011-01-12,20,3571,29
2011,2011-01-12,21,3431,30
2011,2011-01-12,22,3234,30
2011,2011-01-12,23,2985,30
2011,2011-01-12,24,2749,30
2011,2011-01-13,1,2595,31
2011,2011-01-13,2,2503,30
2011,2011-01-13,3,2471,30
2011,2011-01-13,4,2482,30
2011,2011-01-13,5,2542,29
2011,2011-01-13,6,2732,28
2011,2011-01-13,7,3061,28
2011,2011-01-13,8,3289,27
2011,2011-01-13,9,3387,27
2011,2011-01-13,10,3429,27
2011,2011-01-13,11,3448,28
2011,2011-01-13,12,3454,29
2011,2011-01-13,13,3443,30
2011,2011-01-13,14,3429,30
2011,2011-01-13,15,3406,30
2011,2011-01-13,16,3417,30
2011,2011-01-13,17,3579,29
2011,2011-01-13,18,3792,27
2011,2011-01-13,19,3757,26
2011,2011-01-13,20,3689,25
2011,2011-01-13,21,3571,24
2011,2011-01-13,22,3386,23
2011,2011-01-13,23,3120,22
2011,2011-01-13,24,2870,21
2011,2011-01-14,1,2704,21
2011,2011-01-14,2,2612,20
2011,2011-01-14,3,2575,20
2011,2011-01-14,4,2580,20
2011,2011-01-14,5,2637,19
2011,2011-01-14,6,2834,19
2011,2011-01-14,7,3209,19
2011,2011-01-14,8,3476,19
2011,2011-01-14,9,3549,19
2011,2011-01-14,10,3593,20
2011,2011-01-14,11,3610,21
2011,2011-01-14,12,3596,22
2011,2011-01-14,13,3559,23
2011,2011-01-14,14,3531,24
2011,2011-01-14,15,3496,25
2011,2011-01-14,16,3486,25
2011,2011-01-14,17,3599,25
2011,2011-01-14,18,3765,25
2011,2011-01-14,19,3693,25
2011,2011-01-14,20,3604,24
2011,2011-01-14,21,3500,22
2011,2011-01-14,22,3356,20
2011,2011-01-14,23,3156,19
2011,2011-01-14,24,2944,18
2011,2011-01-15,1,2789,18
2011,2011-01-15,2,2700,17
2011,2011-01-15,3,2653,17
2011,2011-01-15,4,2642,16
2011,2011-01-15,5,2660,16
2011,2011-01-15,6,2740,15
2011,2011-01-15,7,2881,16
2011,2011-01-15,8,3027,15
2011,2011-01-15,9,3197,16
2011,2011-01-15,10,3288,18
2011,2011-01-15,11,3303,19
2011,2011-01-15,12,3277,20
2011,2011-01-15,13,3224,22
2011,2011-01-15,14,3155,24
2011,2011-01-15,15,3152,25
2011,2011-01-15,16,3157,26
2011,2011-01-15,17,3310,27
2011,2011-01-15,18,3496,27
2011,2011-01-15,19,3475,28
2011,2011-01-15,20,3384,28
2011,2011-01-15,21,3296,29
2011,2011-01-15,22,3166,31
2011,2011-01-15,23,2983,32
2011,2011-01-15,24,2788,33
2011,2011-01-16,1,2618,33
2011,2011-01-16,2,2513,33
2011,2011-01-16,3,2449,33
2011,2011-01-16,4,2423,33
2011,2011-01-16,5,2421,33
2011,2011-01-16,6,2463,33
2011,2011-01-16,7,2556,32
2011,2011-01-16,8,2647,30
2011,2011-01-16,9,2771,30
2011,2011-01-16,10,2869,30
2011,2011-01-16,11,2940,31
2011,2011-01-16,12,2974,32
2011,2011-01-16,13,2982,33
2011,2011-01-16,14,2982,33
2011,2011-01-16,15,2976,34
2011,2011-01-16,16,3000,33
2011,2011-01-16,17,3161,32
2011,2011-01-16,18,3344,31
2011,2011-01-16,19,3362,30
2011,2011-01-16,20,3295,29
2011,2011-01-16,21,3263,27
2011,2011-01-16,22,3160,25
2011,2011-01-16,23,2986,24
2011,2011-01-16,24,2804,22
2011,2011-01-17,1,2666,21
2011,2011-01-17,2,2600,20
2011,2011-01-17,3,2568,19
2011,2011-01-17,4,2577,19
2011,2011-01-17,5,2625,18
2011,2011-01-17,6,2779,18
2011,2011-01-17,7,3030,17
2011,2011-01-17,8,3216,16
2011,2011-01-17,9,3353,15
2011,2011-01-17,10,3450,15
