Year,Date,Hour,Demand,Temperature
2011,2011-01-08,1,786,29
2011,2011-01-08,2,750,30
2011,2011-01-08,3,726,31
2011,2011-01-08,4,718,30
2011,2011-01-08,5,726,30
2011,2011-01-08,6,749,29
2011,2011-01-08,7,796,29
2011,2011-01-08,8,842,29
2011,2011-01-08,9,900,29
2011,2011-01-08,10,950,29
2011,2011-01-08,11,986,30
2011,2011-01-08,12,998,31
2011,2011-01-08,13,986,31
2011,2011-01-08,14,977,32
2011,2011-01-08,15,961,32
2011,2011-01-08,16,970,32
2011,2011-01-08,17,1048,31
2011,2011-01-08,18,1112,30
2011,2011-01-08,19,1098,30
2011,2011-01-08,20,1063,30
2011,2011-01-08,21,1028,30
2011,2011-01-08,22,983,28
2011,2011-01-08,23,916,28
2011,2011-01-08,24,842,29
2011,2011-01-09,1,783,29
2011,2011-01-09,2,750,29
2011,2011-01-09,3,729,28
2011,2011-01-09,4,721,29
2011,2011-01-09,5,726,29
2011,2011-01-09,6,741,29
2011,2011-01-09,7,775,28
2011,2011-01-09,8,804,29
2011,2011-01-09,9,852,27
2011,2011-01-09,10,905,28
2011,2011-01-09,11,937,28
2011,2011-01-09,12,954,30
2011,2011-01-09,13,963,31
2011,2011-01-09,14,955,32
2011,2011-01-09,15,941,33
2011,2011-01-09,16,946,32
2011,2011-01-09,17,1034,32
2011,2011-01-09,18,1136,29
2011,2011-01-09,19,1137,28
2011,2011-01-09,20,1108,26
2011,2011-01-09,21,1070,26
2011,2011-01-09,22,1001,25
2011,2011-01-09,23,918,25
2011,2011-01-09,24,847,25
2011,2011-01-10,1,793,25
2011,2011-01-10,2,760,25
2011,2011-01-10,3,748,25
2011,2011-01-10,4,749,25
2011,2011-01-10,5,770,25
2011,2011-01-10,6,836,25
2011,2011-01-10,7,974,24
2011,2011-01-10,8,1048,23
2011,2011-01-10,9,1070,23
2011,2011-01-10,10,1085,25
2011,2011-01-10,11,1095,27
2011,2011-01-10,12,1089,29
2011,2011-01-10,13,1079,30
2011,2011-01-10,14,1074,32
2011,2011-01-10,15,1049,33
2011,2011-01-10,16,1045,34
2011,2011-01-10,17,1117,33
2011,2011-01-10,18,1220,31
2011,2011-01-10,19,1211,30
2011,2011-01-10,20,1183,29
2011,2011-01-10,21,1136,28
2011,2011-01-10,22,1064,27
2011,2011-01-10,23,963,24
2011,2011-01-10,24,877,24
2011,2011-01-11,1,809,24
2011,2011-01-11,2,785,24
2011,2011-01-11,3,772,24
2011,2011-01-11,4,772,24
2011,2011-01-11,5,799,23
2011,2011-01-11,6,864,21
