Year,Date,Hour,Demand,Temperature
2011,2011-01-07,21,1575,23
2011,2011-01-07,22,1475,24
2011,2011-01-07,23,1348,24
2011,2011-01-07,24,1229,24
2011,2011-01-08,1,1138,24
2011,2011-01-08,2,1092,24
2011,2011-01-08,3,1070,23
2011,2011-01-08,4,1063,23
2011,2011-01-08,5,1079,22
2011,2011-01-08,6,1120,22
2011,2011-01-08,7,1194,22
2011,2011-01-08,8,1294,22
2011,2011-01-08,9,1397,22
2011,2011-01-08,10,1479,23
2011,2011-01-08,11,1512,25
2011,2011-01-08,12,1516,28
2011,2011-01-08,13,1498,28
2011,2011-01-08,14,1469,28
2011,2011-01-08,15,1438,29
2011,2011-01-08,16,1448,30
2011,2011-01-08,17,1548,29
2011,2011-01-08,18,1636,28
2011,2011-01-08,19,1604,28
2011,2011-01-08,20,1542,28
2011,2011-01-08,21,1480,28
2011,2011-01-08,22,1388,27
2011,2011-01-08,23,1280,27
2011,2011-01-08,24,1179,26
2011,2011-01-09,1,1094,26
2011,2011-01-09,2,1045,25
2011,2011-01-09,3,1022,26
2011,2011-01-09,4,1012,26
2011,2011-01-09,5,1021,27
2011,2011-01-09,6,1056,26
2011,2011-01-09,7,1119,25
2011,2011-01-09,8,1196,26
2011,2011-01-09,9,1289,26
2011,2011-01-09,10,1360,27
2011,2011-01-09,11,1394,28
2011,2011-01-09,12,1412,30
2011,2011-01-09,13,1411,31
2011,2011-01-09,14,1396,33
2011,2011-01-09,15,1384,34
2011,2011-01-09,16,1401,34
2011,2011-01-09,17,1527,32
2011,2011-01-09,18,1657,30
2011,2011-01-09,19,1645,28
2011,2011-01-09,20,1583,27
2011,2011-01-09,21,1511,26
2011,2011-01-09,22,1396,24
2011,2011-01-09,23,1274,24
2011,2011-01-09,24,1175,23
2011,2011-01-10,1,1112,22
2011,2011-01-10,2,1084,22
2011,2011-01-10,3,1078,21
2011,2011-01-10,4,1086,20
2011,2011-01-10,5,1138,19
2011,2011-01-10,6,1258,18
2011,2011-01-10,7,1476,19
2011,2011-01-10,8,1585,19
2011,2011-01-10,9,1596,19
2011,2011-01-10,10,1597,21
2011,2011-01-10,11,1598,24
2011,2011-01-10,12,1592,25
